==========================================================================================
Watermark Embedding
Selected? 0
==========================================================================================
PSNR	SSIM	Time	Filename
45.6415	00.9978	02.2633	19.tif
45.7065	00.9977	02.6641	190.tif
45.6715	00.9971	02.5491	191.tif
45.5011	00.9958	02.7213	192.tif
45.6929	00.9949	03.0349	193.tif
45.6686	00.9978	02.2225	194.tif
45.6608	00.9979	02.2813	195.tif
45.6993	00.9961	02.7248	196.tif
45.6693	00.9953	02.4375	197.tif
45.7070	00.9980	02.6789	198.tif
45.6964	00.9984	03.1795	199.tif
45.4603	00.9962	02.8092	2.tif
45.5695	00.9974	02.6371	20.tif
45.6922	00.9989	02.5462	200.tif
45.6934	00.9988	02.7046	201.tif
45.7021	00.9924	02.4644	202.tif
45.6327	00.9971	02.4115	203.tif
45.6930	00.9977	02.8900	204.tif
45.6984	00.9960	02.3105	205.tif
45.4824	00.9944	02.5188	206.tif
45.6474	00.9960	02.5736	207.tif
45.7022	00.9964	02.1600	208.tif
45.6808	00.9980	02.7802	209.tif
45.6732	00.9970	02.3746	21.tif
45.6754	00.9932	02.6094	210.tif
44.9838	00.9900	02.6004	211.tif
45.3835	00.9891	02.4014	212.tif
44.8613	00.9910	02.8109	213.tif
44.8626	00.9905	02.8226	214.tif
45.6642	00.9972	02.5169	215.tif
45.6323	00.9968	02.5344	216.tif
45.6835	00.9963	02.5148	217.tif
45.6927	00.9960	02.5969	218.tif
45.6174	00.9957	02.5461	219.tif
45.6603	00.9975	02.6435	22.tif
45.6556	00.9948	02.9436	220.tif
45.6959	00.9948	02.4596	221.tif
45.3455	00.9927	03.1579	222.tif
45.5708	00.9934	02.2968	223.tif
45.5921	00.9906	02.5469	224.tif
45.6683	00.9913	02.5909	225.tif
45.6625	00.9903	02.7583	226.tif
45.6890	00.9901	02.4940	227.tif
45.6920	00.9923	02.9290	228.tif
45.6816	00.9900	03.1841	229.tif
45.6697	00.9978	02.5997	23.tif
45.6940	00.9886	02.8151	230.tif
45.6864	00.9967	02.1729	231.tif
45.6906	00.9969	02.3492	232.tif
45.6995	00.9966	02.9335	233.tif
45.6604	00.9962	02.5298	234.tif
45.6811	00.9954	02.1378	235.tif
45.6873	00.9954	02.6178	236.tif
45.6594	00.9925	02.6607	237.tif
45.6854	00.9975	02.5361	238.tif
45.6876	00.9976	02.3196	239.tif
45.6596	00.9977	02.6558	24.tif
45.3154	00.9954	02.4984	240.tif
45.6800	00.9983	02.7763	241.tif
45.7096	00.9951	02.8199	242.tif
45.6317	00.9961	02.8384	243.tif
45.0735	00.9926	02.6341	244.tif
45.6939	00.9915	02.8572	245.tif
45.6997	00.9937	02.5560	246.tif
45.6966	00.9883	03.1171	247.tif
45.7011	00.9892	02.5946	248.tif
45.7025	00.9918	02.4717	249.tif
45.6360	00.9980	02.4443	25.tif
45.6915	00.9948	02.6885	250.tif
45.6406	00.9979	02.5115	251.tif
45.6260	00.9990	02.8236	252.tif
45.6562	00.9979	02.6560	253.tif
45.6949	00.9936	02.3875	254.tif
45.6964	00.9987	02.5629	255.tif
45.6870	00.9933	02.9058	256.tif
45.6996	00.9968	02.4469	257.tif
45.6959	00.9909	02.5453	258.tif
45.4424	00.9958	02.5865	259.tif
45.6790	00.9955	02.5014	26.tif
45.7107	00.9955	02.6806	260.tif
45.6984	00.9943	02.5086	261.tif
45.2772	00.9941	02.5400	262.tif
45.7011	00.9971	02.5291	263.tif
45.7111	00.9984	03.4366	264.tif
45.6794	00.9975	02.5265	265.tif
45.7128	00.9983	02.6303	266.tif
45.6987	00.9983	02.3857	267.tif
45.6971	00.9992	02.6162	268.tif
45.6400	00.9981	02.6603	269.tif
45.5609	00.9921	02.6051	27.tif
45.6861	00.9983	02.6125	270.tif
45.5692	00.9931	02.5558	271.tif
45.3269	00.9947	02.6635	272.tif
45.3034	00.9949	02.5233	273.tif
45.7109	00.9923	02.4909	274.tif
45.7093	00.9958	02.4401	275.tif
45.5995	00.9913	02.4415	276.tif
45.6978	00.9929	02.3899	277.tif
45.7010	00.9892	02.5204	278.tif
45.7007	00.9872	02.4870	279.tif
45.6837	00.9915	02.2675	28.tif
45.6936	00.9867	03.0119	280.tif
45.6894	00.9888	02.7351	281.tif
45.6980	00.9839	02.4197	282.tif
45.7003	00.9936	02.6863	283.tif
45.6998	00.9930	02.2069	284.tif
45.6899	00.9938	02.8384	285.tif
45.6380	00.9942	02.6018	286.tif
45.6797	00.9939	02.3705	287.tif
45.6700	00.9965	02.6902	288.tif
45.6739	00.9987	02.5352	289.tif
45.7040	00.9960	03.2521	29.tif
45.6742	00.9990	02.7702	290.tif
45.6941	00.9992	02.6183	291.tif
45.6928	00.9979	02.5358	292.tif
45.6851	00.9983	02.7090	293.tif
45.6913	00.9972	02.6127	294.tif
45.6975	00.9984	02.8911	295.tif
45.6989	00.9955	02.4870	296.tif
45.6983	00.9941	02.6675	297.tif
45.7019	00.9954	03.0184	298.tif
45.7105	00.9955	02.4862	299.tif
45.6897	00.9980	03.1880	3.tif
45.6635	00.9947	02.3344	30.tif
45.6847	00.9936	02.1182	300.tif
45.0029	00.9886	02.4996	301.tif
45.6989	00.9967	02.3773	302.tif
45.6924	00.9964	02.8730	303.tif
45.6902	00.9972	02.1651	304.tif
45.7207	00.9963	02.6982	305.tif
45.7014	00.9913	02.8731	306.tif
45.6996	00.9895	02.6726	307.tif
