AuSR,Dataset,File,TR,PSNR,SSIM,TCP,Time
1,2,17,70,24.9679,0.7873,0.6429,17.6626
1,2,17,80,23.2829,0.7087,0.7699,36.1657
1,2,18,10,32.3052,0.981,0.0194,5.1772
1,2,18,20,30.4318,0.9667,0.0726,5.5346
1,2,18,30,28.6755,0.9454,0.1554,6.1271
1,2,18,40,27.0791,0.916,0.2589,7.0002
1,2,18,50,25.8101,0.8834,0.3758,8.4839
1,2,18,60,24.4027,0.8403,0.5087,11.4158
1,2,18,70,23.0755,0.7869,0.6429,17.6466
1,2,18,80,21.5534,0.7145,0.7699,36.1521
1,2,19,10,33.752,0.9814,0.0194,5.1889
1,2,19,20,29.0527,0.963,0.0726,5.5422
1,2,19,30,27.1125,0.9435,0.1554,6.1232
1,2,19,40,25.7427,0.9216,0.2589,7.1285
1,2,19,50,24.5153,0.8957,0.3758,8.529
1,2,19,60,23.3367,0.8633,0.5087,11.3564
1,2,19,70,21.9982,0.8213,0.6429,18.1019
1,2,19,80,20.5533,0.7699,0.7699,35.8575
1,2,20,10,35.3179,0.9844,0.0189,5.326
1,2,20,20,32.9997,0.9762,0.0725,5.5585
1,2,20,30,30.892,0.9637,0.1551,6.1621
1,2,20,40,28.8902,0.9472,0.2595,6.989
1,2,20,50,27.2071,0.928,0.3765,8.4779
1,2,20,60,25.6626,0.9044,0.5091,11.5
1,2,20,70,24.1576,0.8757,0.6433,18.0659
1,2,20,80,22.3056,0.8364,0.7698,35.7823
1,2,21,10,34.6231,0.9854,0.0189,5.2222
1,2,21,20,31.0835,0.9689,0.0725,6.6863
1,2,21,30,28.7701,0.9469,0.1551,6.1172
1,2,21,40,27.0613,0.9188,0.2595,7.0581
1,2,21,50,25.5481,0.8872,0.3765,8.6921
1,2,21,60,24.094,0.8474,0.5091,11.4479
1,2,21,70,22.5942,0.7956,0.6433,17.785
1,2,21,80,21.0537,0.7325,0.7698,35.7427
1,2,22,10,35.2284,0.9859,0.0189,5.1802
1,2,22,20,31.5727,0.974,0.0725,5.5393
1,2,22,30,29.7051,0.9609,0.1551,6.1174
1,2,22,40,28.2796,0.9425,0.2595,7.0265
1,2,22,50,26.9065,0.9185,0.3765,8.4734
1,2,22,60,25.6516,0.8896,0.5091,11.5246
1,2,22,70,24.5425,0.8568,0.6433,18.5249
1,2,22,80,23.2109,0.8125,0.7698,35.7833
1,2,23,10,39.3574,0.9928,0.0189,5.2824
1,2,23,20,34.1932,0.987,0.0725,5.6797
1,2,23,30,31.1715,0.9789,0.1551,6.2322
1,2,23,40,29.5262,0.9693,0.2595,7.1193
1,2,23,50,28.3946,0.9588,0.3765,8.6573
1,2,23,60,27.1534,0.9452,0.5091,11.6761
1,2,23,70,25.8091,0.9257,0.6433,17.8906
