AuSR,Dataset,File,TR,ATR,TPR,FNR,FPR,TNR,Precision,F1Score,Accuracy,Time
1,2,8,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.297
1,2,8,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2477
1,2,8,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1515
1,2,8,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.0958
1,2,8,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0827
1,2,8,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0827
1,2,8,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,4.1183
1,2,9,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.4379
1,2,9,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,5.1106
1,2,9,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.3077
1,2,9,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1443
1,2,9,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1436
1,2,9,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0352
1,2,9,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,3.9468
1,2,9,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9331
1,2,10,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.4068
1,2,10,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.266
1,2,10,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2516
1,2,10,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.2298
1,2,10,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.0941
1,2,10,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0618
1,2,10,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0481
1,2,10,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9477
1,2,11,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.469
1,2,11,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2647
1,2,11,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2231
1,2,11,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1311
1,2,11,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.0854
1,2,11,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.1288
1,2,11,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,3.9545
1,2,11,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9788
1,2,12,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.28
1,2,12,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2787
1,2,12,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.1795
1,2,12,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1519
1,2,12,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.0648
1,2,12,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.048
1,2,12,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,3.9835
1,2,12,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9505
1,2,13,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.2904
1,2,13,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.336
1,2,13,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2018
1,2,13,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1116
1,2,13,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1013
1,2,13,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0213
1,2,13,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,3.9882
1,2,13,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9226
1,2,14,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.4835
1,2,14,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2575
1,2,14,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.1808
1,2,14,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1374
1,2,14,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1025
1,2,14,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0435
1,2,14,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,3.9596
1,2,14,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9292
1,2,15,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.3287
1,2,15,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2776
1,2,15,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.1926
1,2,15,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.2037
1,2,15,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1448
1,2,15,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0435
1,2,15,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0164
1,2,15,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.991
1,2,16,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.4185
1,2,16,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.6468
1,2,16,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2149
1,2,16,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.184
1,2,16,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.0838
1,2,16,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0923
1,2,16,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0151
1,2,16,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9491
1,2,17,10,0.1001,0.9999,0.0001,0.0005,0.9995,0.9995,0.9997,0.9997,4.3915
1,2,17,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.3177
1,2,17,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2381
1,2,17,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1761
1,2,17,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.0862
1,2,17,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0735
1,2,17,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0206
1,2,17,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9476
1,2,18,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.347
1,2,18,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2774
1,2,18,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2286
1,2,18,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1342
1,2,18,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1238
1,2,18,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0365
1,2,18,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,3.987
1,2,18,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9281
1,2,19,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.3934
1,2,19,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.3076
1,2,19,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2355
1,2,19,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.1876
1,2,19,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1153
1,2,19,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0376
1,2,19,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0247
1,2,19,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9223
1,2,20,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.3564
1,2,20,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.3013
1,2,20,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.1949
1,2,20,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.623
1,2,20,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1077
1,2,20,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.0199
1,2,20,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0503
1,2,20,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9692
1,2,21,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.4453
1,2,21,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2695
1,2,21,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2876
1,2,21,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.3476
1,2,21,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1577
1,2,21,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.2505
1,2,21,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0191
1,2,21,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.9442
1,2,22,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.3695
1,2,22,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2621
1,2,22,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.2649
1,2,22,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.2059
1,2,22,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2115
1,2,22,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.086
1,2,22,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.0245
1,2,22,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.96
1,2,23,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.3008
1,2,23,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.2533
1,2,23,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,5.0606
1,2,23,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.5755
1,2,23,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.6211
1,2,23,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.4708
1,2,23,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,4.5408
1,2,23,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,4.1369
1,2,24,10,0.1001,1,0,0.0005,0.9995,0.9995,0.9998,0.9998,4.3388
1,2,24,20,0.1998,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.3094
1,2,24,30,0.2998,1,0,0.0041,0.9959,0.9959,0.998,0.998,4.1974
1,2,24,40,0.4005,1,0,0.0041,0.9959,0.9959,0.9979,0.9979,4.2145
1,2,24,50,0.4999,1,0,0.0018,0.9982,0.9982,0.9991,0.9991,4.1636
1,2,24,60,0.6007,1,0,0.0063,0.9937,0.9937,0.9968,0.9968,4.029
1,2,24,70,0.6999,1,0,0.0145,0.9855,0.9857,0.9928,0.9927,3.949
1,2,24,80,0.8002,1,0,0.0058,0.9942,0.9942,0.9971,0.9971,3.937
1,3,1,10,0.0997,1,0,0.0009,0.9991,0.9991,0.9995,0.9995,3.5913
1,3,1,20,0.2003,1,0,0.004,0.996,0.996,0.998,0.998,3.2585
1,3,1,30,0.2991,1,0,0.003,0.997,0.997,0.9985,0.9985,2.8544
1,3,1,40,0.4005,1,0,0.0069,0.9931,0.9932,0.9966,0.9966,2.7552
1,3,1,50,0.5008,1,0,0.0074,0.9926,0.9927,0.9963,0.9963,3.0173
1,3,1,60,0.5997,1,0,0.0088,0.9912,0.9912,0.9956,0.9956,2.9586
1,3,1,70,0.6988,1,0,0.0181,0.9819,0.9822,0.991,0.9909,2.7506
1,3,1,80,0.799,1,0,0.0116,0.9884,0.9885,0.9942,0.9942,2.6064
1,3,2,10,0.0997,1,0,0.0009,0.9991,0.9991,0.9995,0.9995,3.7687
